[     202ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/07vw_next_dist_13_qw0k._.js:2477
[     214ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/07vw_next_dist_13_qw0k._.js:2477
[ 2132668ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2135999ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2139349ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2142689ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2146030ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2153379ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2160716ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2168077ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2175420ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2182807ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2190172ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
[ 2197626ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=n6KUXbcoFOOaA3ZJNJBkN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/07vw_next_dist_client_04oxss2._.js:13322
